Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
1801,1,1,1,1
1802,2,2,2,2
1803,3,3,3,3
1804,4,4,4,4
1805,5,5,5,5
1806,6,6,6,6
1807,7,7,7,7
1808,8,8,8,8
1809,9,9,9,9
1810,10,10,10,10
1811,11,11,1,1
1812,12,12,2,2
1813,13,13,3,3
1814,14,14,4,4
1815,15,15,5,5
1816,16,16,6,6
1817,17,17,7,7
1818,18,18,8,8
1819,19,19,9,9
1820,20,20,10,10
1821,21,21,1,1
1822,22,22,2,2
1823,23,23,3,3
1824,24,24,4,4
1825,25,25,5,5
1826,26,26,6,6
1827,27,27,7,7
1828,28,28,8,8
1829,29,29,9,9
1830,30,30,10,10
1831,31,31,1,1
1832,32,32,2,2
1833,33,33,3,3
1834,34,34,4,4
1835,35,35,5,5
1836,36,36,6,6
1837,37,37,7,7
1838,38,38,8,8
1839,39,39,9,9
1840,40,40,10,10
1841,41,41,1,1
1842,42,42,2,2
1843,43,43,3,3
1844,44,44,4,4
1845,45,45,5,5
1846,46,46,6,6
1847,47,47,7,7
1848,48,48,8,8
1849,49,49,9,9
1850,50,50,10,10
1851,51,51,1,1
1852,52,52,2,2
1853,53,53,3,3
1854,54,54,4,4
1855,55,55,5,5
1856,56,56,6,6
1857,57,57,7,7
1858,58,58,8,8
1859,59,59,9,9
1860,60,60,10,10
1861,61,61,1,1
1862,62,62,2,2
1863,63,63,3,3
1864,64,64,4,4
1865,65,65,5,5
1866,66,66,6,6
1867,67,67,7,7
1868,68,68,8,8
1869,69,69,9,9
1870,70,70,10,10
1871,71,71,1,1
1872,72,72,2,2
1873,73,73,3,3
1874,74,74,4,4
1875,75,75,5,5
1876,76,76,6,6
1877,77,77,7,7
1878,78,78,8,8
1879,79,79,9,9
1880,80,80,10,10
1881,81,81,1,1
1882,82,82,2,2
1883,83,83,3,3
1884,84,84,4,4
1885,85,85,5,5
1886,86,86,6,6
1887,87,87,7,7
1888,88,88,8,8
1889,89,89,9,9
1890,90,90,10,10
1891,91,91,1,1
1892,92,92,2,2
1893,93,93,3,3
1894,94,94,4,4
1895,95,95,5,5
1896,96,96,6,6
1897,97,97,7,7
1898,98,98,8,8
1899,99,99,9,9
1900,100,100,10,10
1901,1,1,1,1
1902,2,2,2,2
1903,3,3,3,3
1904,4,4,4,4
1905,5,5,5,5
1906,6,6,6,6
1907,7,7,7,7
1908,8,8,8,8
1909,9,9,9,9
1910,10,10,10,10
1911,11,11,1,1
1912,12,12,2,2
1913,13,13,3,3
1914,14,14,4,4
1915,15,15,5,5
1916,16,16,6,6
1917,17,17,7,7
1918,18,18,8,8
1919,19,19,9,9
1920,20,20,10,10
1921,21,21,1,1
1922,22,22,2,2
1923,23,23,3,3
1924,24,24,4,4
1925,25,25,5,5
1926,26,26,6,6
1927,27,27,7,7
1928,28,28,8,8
1929,29,29,9,9
1930,30,30,10,10
1931,31,31,1,1
1932,32,32,2,2
1933,33,33,3,3
1934,34,34,4,4
1935,35,35,5,5
1936,36,36,6,6
1937,37,37,7,7
1938,38,38,8,8
1939,39,39,9,9
1940,40,40,10,10
1941,41,41,1,1
1942,42,42,2,2
1943,43,43,3,3
1944,44,44,4,4
1945,45,45,5,5
1946,46,46,6,6
1947,47,47,7,7
1948,48,48,8,8
1949,49,49,9,9
1950,50,50,10,10
1951,51,51,1,1
1952,52,52,2,2
1953,53,53,3,3
1954,54,54,4,4
1955,55,55,5,5
1956,56,56,6,6
1957,57,57,7,7
1958,58,58,8,8
1959,59,59,9,9
1960,60,60,10,10
1961,61,61,1,1
1962,62,62,2,2
1963,63,63,3,3
1964,64,64,4,4
1965,65,65,5,5
1966,66,66,6,6
1967,67,67,7,7
1968,68,68,8,8
1969,69,69,9,9
1970,70,70,10,10
1971,71,71,1,1
1972,72,72,2,2
1973,73,73,3,3
1974,74,74,4,4
1975,75,75,5,5
1976,76,76,6,6
1977,77,77,7,7
1978,78,78,8,8
1979,79,79,9,9
1980,80,80,10,10
1981,81,81,1,1
1982,82,82,2,2
1983,83,83,3,3
1984,84,84,4,4
1985,85,85,5,5
1986,86,86,6,6
1987,87,87,7,7
1988,88,88,8,8
1989,89,89,9,9
1990,90,90,10,10
1991,91,91,1,1
1992,92,92,2,2
1993,93,93,3,3
1994,94,94,4,4
1995,95,95,5,5
1996,96,96,6,6
1997,97,97,7,7
1998,98,98,8,8
1999,99,99,9,9
2000,100,100,10,10
2001,1,1,1,1
2002,2,2,2,2
2003,3,3,3,3
2004,4,4,4,4
2005,5,5,5,5
2006,6,6,6,6
2007,7,7,7,7
2008,8,8,8,8
2009,9,9,9,9
2010,10,10,10,10
2011,11,11,1,1
2012,12,12,2,2
2013,13,13,3,3
2014,14,14,4,4
2015,15,15,5,5
2016,16,16,6,6
2017,17,17,7,7
2018,18,18,8,8
2019,19,19,9,9
2020,20,20,10,10
2021,21,21,1,1
2022,22,22,2,2
2023,23,23,3,3
2024,24,24,4,4
2025,25,25,5,5
2026,26,26,6,6
2027,27,27,7,7
2028,28,28,8,8
2029,29,29,9,9
2030,30,30,10,10
2031,31,31,1,1
2032,32,32,2,2
2033,33,33,3,3
2034,34,34,4,4
2035,35,35,5,5
2036,36,36,6,6
2037,37,37,7,7
2038,38,38,8,8
2039,39,39,9,9
2040,40,40,10,10
2041,41,41,1,1
2042,42,42,2,2
2043,43,43,3,3
2044,44,44,4,4
2045,45,45,5,5
2046,46,46,6,6
2047,47,47,7,7
2048,48,48,8,8
2049,49,49,9,9
2050,50,50,10,10
2051,51,51,1,1
2052,52,52,2,2
2053,53,53,3,3
2054,54,54,4,4
2055,55,55,5,5
2056,56,56,6,6
2057,57,57,7,7
2058,58,58,8,8
2059,59,59,9,9
2060,60,60,10,10
2061,61,61,1,1
2062,62,62,2,2
2063,63,63,3,3
2064,64,64,4,4
2065,65,65,5,5
2066,66,66,6,6
2067,67,67,7,7
2068,68,68,8,8
2069,69,69,9,9
2070,70,70,10,10
2071,71,71,1,1
2072,72,72,2,2
2073,73,73,3,3
2074,74,74,4,4
2075,75,75,5,5
2076,76,76,6,6
2077,77,77,7,7
2078,78,78,8,8
2079,79,79,9,9
2080,80,80,10,10
2081,81,81,1,1
2082,82,82,2,2
2083,83,83,3,3
2084,84,84,4,4
2085,85,85,5,5
2086,86,86,6,6
2087,87,87,7,7
2088,88,88,8,8
2089,89,89,9,9
2090,90,90,10,10
2091,91,91,1,1
2092,92,92,2,2
2093,93,93,3,3
2094,94,94,4,4
2095,95,95,5,5
2096,96,96,6,6
2097,97,97,7,7
2098,98,98,8,8
2099,99,99,9,9
2100,100,100,10,10
2101,1,1,1,1
2102,2,2,2,2
2103,3,3,3,3
2104,4,4,4,4
2105,5,5,5,5
2106,6,6,6,6
2107,7,7,7,7
2108,8,8,8,8
2109,9,9,9,9
2110,10,10,10,10
2111,11,11,1,1
2112,12,12,2,2
2113,13,13,3,3
2114,14,14,4,4
2115,15,15,5,5
2116,16,16,6,6
2117,17,17,7,7
2118,18,18,8,8
2119,19,19,9,9
2120,20,20,10,10
2121,21,21,1,1
2122,22,22,2,2
2123,23,23,3,3
2124,24,24,4,4
2125,25,25,5,5
2126,26,26,6,6
2127,27,27,7,7
2128,28,28,8,8
2129,29,29,9,9
2130,30,30,10,10
2131,31,31,1,1
2132,32,32,2,2
2133,33,33,3,3
2134,34,34,4,4
2135,35,35,5,5
2136,36,36,6,6
2137,37,37,7,7
2138,38,38,8,8
2139,39,39,9,9
2140,40,40,10,10
2141,41,41,1,1
2142,42,42,2,2
2143,43,43,3,3
2144,44,44,4,4
2145,45,45,5,5
2146,46,46,6,6
2147,47,47,7,7
2148,48,48,8,8
2149,49,49,9,9
2150,50,50,10,10
2151,51,51,1,1
2152,52,52,2,2
2153,53,53,3,3
2154,54,54,4,4
2155,55,55,5,5
2156,56,56,6,6
2157,57,57,7,7
2158,58,58,8,8
2159,59,59,9,9
2160,60,60,10,10
2161,61,61,1,1
2162,62,62,2,2
2163,63,63,3,3
2164,64,64,4,4
2165,65,65,5,5
2166,66,66,6,6
2167,67,67,7,7
2168,68,68,8,8
2169,69,69,9,9
2170,70,70,10,10
2171,71,71,1,1
2172,72,72,2,2
2173,73,73,3,3
2174,74,74,4,4
2175,75,75,5,5
2176,76,76,6,6
2177,77,77,7,7
2178,78,78,8,8
2179,79,79,9,9
2180,80,80,10,10
2181,81,81,1,1
2182,82,82,2,2
2183,83,83,3,3
2184,84,84,4,4
2185,85,85,5,5
2186,86,86,6,6
2187,87,87,7,7
2188,88,88,8,8
2189,89,89,9,9
2190,90,90,10,10
2191,91,91,1,1
2192,92,92,2,2
2193,93,93,3,3
2194,94,94,4,4
2195,95,95,5,5
2196,96,96,6,6
2197,97,97,7,7
2198,98,98,8,8
2199,99,99,9,9
2200,100,100,10,10
2201,1,1,1,1
2202,2,2,2,2
2203,3,3,3,3
2204,4,4,4,4
2205,5,5,5,5
2206,6,6,6,6
2207,7,7,7,7
2208,8,8,8,8
2209,9,9,9,9
2210,10,10,10,10
2211,11,11,1,1
2212,12,12,2,2
2213,13,13,3,3
2214,14,14,4,4
2215,15,15,5,5
2216,16,16,6,6
2217,17,17,7,7
2218,18,18,8,8
2219,19,19,9,9
2220,20,20,10,10
2221,21,21,1,1
2222,22,22,2,2
2223,23,23,3,3
2224,24,24,4,4
2225,25,25,5,5
2226,26,26,6,6
2227,27,27,7,7
2228,28,28,8,8
2229,29,29,9,9
2230,30,30,10,10
2231,31,31,1,1
2232,32,32,2,2
2233,33,33,3,3
2234,34,34,4,4
2235,35,35,5,5
2236,36,36,6,6
2237,37,37,7,7
2238,38,38,8,8
2239,39,39,9,9
2240,40,40,10,10
2241,41,41,1,1
2242,42,42,2,2
2243,43,43,3,3
2244,44,44,4,4
2245,45,45,5,5
2246,46,46,6,6
2247,47,47,7,7
2248,48,48,8,8
2249,49,49,9,9
2250,50,50,10,10
2251,51,51,1,1
2252,52,52,2,2
2253,53,53,3,3
2254,54,54,4,4
2255,55,55,5,5
2256,56,56,6,6
2257,57,57,7,7
2258,58,58,8,8
2259,59,59,9,9
2260,60,60,10,10
2261,61,61,1,1
2262,62,62,2,2
2263,63,63,3,3
2264,64,64,4,4
2265,65,65,5,5
2266,66,66,6,6
2267,67,67,7,7
2268,68,68,8,8
2269,69,69,9,9
2270,70,70,10,10
2271,71,71,1,1
2272,72,72,2,2
2273,73,73,3,3
2274,74,74,4,4
2275,75,75,5,5
2276,76,76,6,6
2277,77,77,7,7
2278,78,78,8,8
2279,79,79,9,9
2280,80,80,10,10
2281,81,81,1,1
2282,82,82,2,2
2283,83,83,3,3
2284,84,84,4,4
2285,85,85,5,5
2286,86,86,6,6
2287,87,87,7,7
2288,88,88,8,8
2289,89,89,9,9
2290,90,90,10,10
2291,91,91,1,1
2292,92,92,2,2
2293,93,93,3,3
2294,94,94,4,4
2295,95,95,5,5
2296,96,96,6,6
2297,97,97,7,7
2298,98,98,8,8
2299,99,99,9,9
2300,100,100,10,10
2301,1,1,1,1
2302,2,2,2,2
2303,3,3,3,3
2304,4,4,4,4
2305,5,5,5,5
2306,6,6,6,6
2307,7,7,7,7
2308,8,8,8,8
2309,9,9,9,9
2310,10,10,10,10
2311,11,11,1,1
2312,12,12,2,2
2313,13,13,3,3
2314,14,14,4,4
2315,15,15,5,5
2316,16,16,6,6
2317,17,17,7,7
2318,18,18,8,8
2319,19,19,9,9
2320,20,20,10,10
2321,21,21,1,1
2322,22,22,2,2
2323,23,23,3,3
2324,24,24,4,4
2325,25,25,5,5
2326,26,26,6,6
2327,27,27,7,7
2328,28,28,8,8
2329,29,29,9,9
