Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
6301,1,1,1,1
6302,2,2,2,2
6303,3,3,3,3
6304,4,4,4,4
6305,5,5,5,5
6306,6,6,6,6
6307,7,7,7,7
6308,8,8,8,8
6309,9,9,9,9
6310,10,10,10,10
6311,11,11,1,1
6312,12,12,2,2
6313,13,13,3,3
6314,14,14,4,4
6315,15,15,5,5
6316,16,16,6,6
6317,17,17,7,7
6318,18,18,8,8
6319,19,19,9,9
6320,20,20,10,10
6321,21,21,1,1
6322,22,22,2,2
6323,23,23,3,3
6324,24,24,4,4
6325,25,25,5,5
6326,26,26,6,6
6327,27,27,7,7
6328,28,28,8,8
6329,29,29,9,9
6330,30,30,10,10
6331,31,31,1,1
6332,32,32,2,2
6333,33,33,3,3
6334,34,34,4,4
6335,35,35,5,5
6336,36,36,6,6
6337,37,37,7,7
6338,38,38,8,8
6339,39,39,9,9
6340,40,40,10,10
6341,41,41,1,1
6342,42,42,2,2
6343,43,43,3,3
6344,44,44,4,4
6345,45,45,5,5
6346,46,46,6,6
6347,47,47,7,7
6348,48,48,8,8
6349,49,49,9,9
6350,50,50,10,10
6351,51,51,1,1
6352,52,52,2,2
6353,53,53,3,3
6354,54,54,4,4
6355,55,55,5,5
6356,56,56,6,6
6357,57,57,7,7
6358,58,58,8,8
6359,59,59,9,9
6360,60,60,10,10
6361,61,61,1,1
6362,62,62,2,2
6363,63,63,3,3
6364,64,64,4,4
6365,65,65,5,5
6366,66,66,6,6
6367,67,67,7,7
6368,68,68,8,8
6369,69,69,9,9
6370,70,70,10,10
6371,71,71,1,1
6372,72,72,2,2
6373,73,73,3,3
6374,74,74,4,4
6375,75,75,5,5
6376,76,76,6,6
6377,77,77,7,7
6378,78,78,8,8
6379,79,79,9,9
6380,80,80,10,10
6381,81,81,1,1
6382,82,82,2,2
6383,83,83,3,3
6384,84,84,4,4
6385,85,85,5,5
6386,86,86,6,6
6387,87,87,7,7
6388,88,88,8,8
6389,89,89,9,9
6390,90,90,10,10
6391,91,91,1,1
6392,92,92,2,2
6393,93,93,3,3
6394,94,94,4,4
6395,95,95,5,5
6396,96,96,6,6
6397,97,97,7,7
6398,98,98,8,8
6399,99,99,9,9
6400,100,100,10,10
6401,1,1,1,1
6402,2,2,2,2
6403,3,3,3,3
6404,4,4,4,4
6405,5,5,5,5
6406,6,6,6,6
6407,7,7,7,7
6408,8,8,8,8
6409,9,9,9,9
6410,10,10,10,10
6411,11,11,1,1
6412,12,12,2,2
6413,13,13,3,3
6414,14,14,4,4
6415,15,15,5,5
6416,16,16,6,6
6417,17,17,7,7
6418,18,18,8,8
6419,19,19,9,9
6420,20,20,10,10
6421,21,21,1,1
6422,22,22,2,2
6423,23,23,3,3
6424,24,24,4,4
6425,25,25,5,5
6426,26,26,6,6
6427,27,27,7,7
6428,28,28,8,8
6429,29,29,9,9
6430,30,30,10,10
6431,31,31,1,1
6432,32,32,2,2
6433,33,33,3,3
6434,34,34,4,4
6435,35,35,5,5
6436,36,36,6,6
6437,37,37,7,7
6438,38,38,8,8
6439,39,39,9,9
6440,40,40,10,10
6441,41,41,1,1
6442,42,42,2,2
6443,43,43,3,3
6444,44,44,4,4
6445,45,45,5,5
6446,46,46,6,6
6447,47,47,7,7
6448,48,48,8,8
6449,49,49,9,9
6450,50,50,10,10
6451,51,51,1,1
6452,52,52,2,2
6453,53,53,3,3
6454,54,54,4,4
6455,55,55,5,5
6456,56,56,6,6
6457,57,57,7,7
6458,58,58,8,8
6459,59,59,9,9
6460,60,60,10,10
6461,61,61,1,1
6462,62,62,2,2
6463,63,63,3,3
6464,64,64,4,4
6465,65,65,5,5
6466,66,66,6,6
6467,67,67,7,7
6468,68,68,8,8
6469,69,69,9,9
6470,70,70,10,10
6471,71,71,1,1
6472,72,72,2,2
6473,73,73,3,3
6474,74,74,4,4
6475,75,75,5,5
6476,76,76,6,6
6477,77,77,7,7
6478,78,78,8,8
6479,79,79,9,9
6480,80,80,10,10
6481,81,81,1,1
6482,82,82,2,2
6483,83,83,3,3
6484,84,84,4,4
6485,85,85,5,5
6486,86,86,6,6
6487,87,87,7,7
6488,88,88,8,8
6489,89,89,9,9
6490,90,90,10,10
6491,91,91,1,1
6492,92,92,2,2
6493,93,93,3,3
6494,94,94,4,4
6495,95,95,5,5
6496,96,96,6,6
6497,97,97,7,7
6498,98,98,8,8
6499,99,99,9,9
6500,100,100,10,10
6501,1,1,1,1
6502,2,2,2,2
6503,3,3,3,3
6504,4,4,4,4
6505,5,5,5,5
6506,6,6,6,6
6507,7,7,7,7
6508,8,8,8,8
6509,9,9,9,9
6510,10,10,10,10
6511,11,11,1,1
6512,12,12,2,2
6513,13,13,3,3
6514,14,14,4,4
6515,15,15,5,5
6516,16,16,6,6
6517,17,17,7,7
6518,18,18,8,8
6519,19,19,9,9
6520,20,20,10,10
6521,21,21,1,1
6522,22,22,2,2
6523,23,23,3,3
6524,24,24,4,4
6525,25,25,5,5
6526,26,26,6,6
6527,27,27,7,7
6528,28,28,8,8
6529,29,29,9,9
6530,30,30,10,10
6531,31,31,1,1
6532,32,32,2,2
6533,33,33,3,3
6534,34,34,4,4
6535,35,35,5,5
6536,36,36,6,6
6537,37,37,7,7
6538,38,38,8,8
6539,39,39,9,9
6540,40,40,10,10
6541,41,41,1,1
6542,42,42,2,2
6543,43,43,3,3
6544,44,44,4,4
6545,45,45,5,5
6546,46,46,6,6
6547,47,47,7,7
6548,48,48,8,8
6549,49,49,9,9
6550,50,50,10,10
6551,51,51,1,1
6552,52,52,2,2
6553,53,53,3,3
6554,54,54,4,4
6555,55,55,5,5
6556,56,56,6,6
6557,57,57,7,7
6558,58,58,8,8
6559,59,59,9,9
6560,60,60,10,10
6561,61,61,1,1
6562,62,62,2,2
6563,63,63,3,3
6564,64,64,4,4
6565,65,65,5,5
6566,66,66,6,6
6567,67,67,7,7
6568,68,68,8,8
6569,69,69,9,9
6570,70,70,10,10
6571,71,71,1,1
6572,72,72,2,2
6573,73,73,3,3
6574,74,74,4,4
6575,75,75,5,5
6576,76,76,6,6
6577,77,77,7,7
6578,78,78,8,8
6579,79,79,9,9
6580,80,80,10,10
6581,81,81,1,1
6582,82,82,2,2
6583,83,83,3,3
6584,84,84,4,4
6585,85,85,5,5
6586,86,86,6,6
6587,87,87,7,7
6588,88,88,8,8
6589,89,89,9,9
6590,90,90,10,10
6591,91,91,1,1
6592,92,92,2,2
6593,93,93,3,3
6594,94,94,4,4
6595,95,95,5,5
6596,96,96,6,6
6597,97,97,7,7
6598,98,98,8,8
6599,99,99,9,9
6600,100,100,10,10
6601,1,1,1,1
6602,2,2,2,2
6603,3,3,3,3
6604,4,4,4,4
6605,5,5,5,5
6606,6,6,6,6
6607,7,7,7,7
6608,8,8,8,8
6609,9,9,9,9
6610,10,10,10,10
6611,11,11,1,1
6612,12,12,2,2
6613,13,13,3,3
6614,14,14,4,4
6615,15,15,5,5
6616,16,16,6,6
6617,17,17,7,7
6618,18,18,8,8
6619,19,19,9,9
6620,20,20,10,10
6621,21,21,1,1
6622,22,22,2,2
6623,23,23,3,3
6624,24,24,4,4
6625,25,25,5,5
6626,26,26,6,6
6627,27,27,7,7
6628,28,28,8,8
6629,29,29,9,9
6630,30,30,10,10
6631,31,31,1,1
6632,32,32,2,2
6633,33,33,3,3
6634,34,34,4,4
6635,35,35,5,5
6636,36,36,6,6
6637,37,37,7,7
6638,38,38,8,8
6639,39,39,9,9
6640,40,40,10,10
6641,41,41,1,1
6642,42,42,2,2
6643,43,43,3,3
6644,44,44,4,4
6645,45,45,5,5
6646,46,46,6,6
6647,47,47,7,7
6648,48,48,8,8
6649,49,49,9,9
6650,50,50,10,10
6651,51,51,1,1
6652,52,52,2,2
6653,53,53,3,3
6654,54,54,4,4
6655,55,55,5,5
6656,56,56,6,6
6657,57,57,7,7
6658,58,58,8,8
6659,59,59,9,9
6660,60,60,10,10
6661,61,61,1,1
6662,62,62,2,2
6663,63,63,3,3
6664,64,64,4,4
6665,65,65,5,5
6666,66,66,6,6
6667,67,67,7,7
6668,68,68,8,8
6669,69,69,9,9
6670,70,70,10,10
6671,71,71,1,1
6672,72,72,2,2
6673,73,73,3,3
6674,74,74,4,4
6675,75,75,5,5
6676,76,76,6,6
6677,77,77,7,7
6678,78,78,8,8
6679,79,79,9,9
6680,80,80,10,10
6681,81,81,1,1
6682,82,82,2,2
6683,83,83,3,3
6684,84,84,4,4
6685,85,85,5,5
6686,86,86,6,6
6687,87,87,7,7
6688,88,88,8,8
6689,89,89,9,9
6690,90,90,10,10
6691,91,91,1,1
6692,92,92,2,2
6693,93,93,3,3
6694,94,94,4,4
6695,95,95,5,5
6696,96,96,6,6
6697,97,97,7,7
6698,98,98,8,8
6699,99,99,9,9
6700,100,100,10,10
6701,1,1,1,1
6702,2,2,2,2
6703,3,3,3,3
6704,4,4,4,4
6705,5,5,5,5
6706,6,6,6,6
6707,7,7,7,7
6708,8,8,8,8
6709,9,9,9,9
6710,10,10,10,10
6711,11,11,1,1
6712,12,12,2,2
6713,13,13,3,3
6714,14,14,4,4
6715,15,15,5,5
6716,16,16,6,6
6717,17,17,7,7
6718,18,18,8,8
6719,19,19,9,9
6720,20,20,10,10
6721,21,21,1,1
6722,22,22,2,2
6723,23,23,3,3
6724,24,24,4,4
6725,25,25,5,5
6726,26,26,6,6
6727,27,27,7,7
6728,28,28,8,8
6729,29,29,9,9
6730,30,30,10,10
6731,31,31,1,1
6732,32,32,2,2
6733,33,33,3,3
6734,34,34,4,4
6735,35,35,5,5
6736,36,36,6,6
6737,37,37,7,7
6738,38,38,8,8
6739,39,39,9,9
6740,40,40,10,10
6741,41,41,1,1
6742,42,42,2,2
6743,43,43,3,3
6744,44,44,4,4
6745,45,45,5,5
6746,46,46,6,6
6747,47,47,7,7
6748,48,48,8,8
6749,49,49,9,9
6750,50,50,10,10
6751,51,51,1,1
6752,52,52,2,2
6753,53,53,3,3
6754,54,54,4,4
6755,55,55,5,5
6756,56,56,6,6
6757,57,57,7,7
6758,58,58,8,8
6759,59,59,9,9
6760,60,60,10,10
6761,61,61,1,1
6762,62,62,2,2
6763,63,63,3,3
6764,64,64,4,4
6765,65,65,5,5
6766,66,66,6,6
6767,67,67,7,7
6768,68,68,8,8
6769,69,69,9,9
6770,70,70,10,10
6771,71,71,1,1
6772,72,72,2,2
6773,73,73,3,3
6774,74,74,4,4
6775,75,75,5,5
6776,76,76,6,6
6777,77,77,7,7
6778,78,78,8,8
6779,79,79,9,9
6780,80,80,10,10
6781,81,81,1,1
6782,82,82,2,2
6783,83,83,3,3
6784,84,84,4,4
6785,85,85,5,5
6786,86,86,6,6
6787,87,87,7,7
6788,88,88,8,8
6789,89,89,9,9
6790,90,90,10,10
6791,91,91,1,1
6792,92,92,2,2
6793,93,93,3,3
6794,94,94,4,4
6795,95,95,5,5
6796,96,96,6,6
6797,97,97,7,7
6798,98,98,8,8
6799,99,99,9,9
6800,100,100,10,10
6801,1,1,1,1
6802,2,2,2,2
6803,3,3,3,3
6804,4,4,4,4
6805,5,5,5,5
6806,6,6,6,6
6807,7,7,7,7
6808,8,8,8,8
6809,9,9,9,9
6810,10,10,10,10
6811,11,11,1,1
6812,12,12,2,2
6813,13,13,3,3
6814,14,14,4,4
6815,15,15,5,5
6816,16,16,6,6
6817,17,17,7,7
6818,18,18,8,8
6819,19,19,9,9
6820,20,20,10,10
6821,21,21,1,1
6822,22,22,2,2
6823,23,23,3,3
6824,24,24,4,4
6825,25,25,5,5
6826,26,26,6,6
6827,27,27,7,7
6828,28,28,8,8
6829,29,29,9,9
6830,30,30,10,10
6831,31,31,1,1
6832,32,32,2,2
6833,33,33,3,3
6834,34,34,4,4
6835,35,35,5,5
6836,36,36,6,6
6837,37,37,7,7
6838,38,38,8,8
6839,39,39,9,9
6840,40,40,10,10
6841,41,41,1,1
6842,42,42,2,2
6843,43,43,3,3
6844,44,44,4,4
6845,45,45,5,5
6846,46,46,6,6
6847,47,47,7,7
6848,48,48,8,8
6849,49,49,9,9
6850,50,50,10,10
6851,51,51,1,1
6852,52,52,2,2
6853,53,53,3,3
6854,54,54,4,4
6855,55,55,5,5
6856,56,56,6,6
6857,57,57,7,7
6858,58,58,8,8
6859,59,59,9,9
6860,60,60,10,10
6861,61,61,1,1
6862,62,62,2,2
