Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
3601,1,1,1,1
3602,2,2,2,2
3603,3,3,3,3
3604,4,4,4,4
3605,5,5,5,5
3606,6,6,6,6
3607,7,7,7,7
3608,8,8,8,8
3609,9,9,9,9
3610,10,10,10,10
3611,11,11,1,1
3612,12,12,2,2
3613,13,13,3,3
3614,14,14,4,4
3615,15,15,5,5
3616,16,16,6,6
3617,17,17,7,7
3618,18,18,8,8
3619,19,19,9,9
3620,20,20,10,10
3621,21,21,1,1
3622,22,22,2,2
3623,23,23,3,3
3624,24,24,4,4
3625,25,25,5,5
3626,26,26,6,6
3627,27,27,7,7
3628,28,28,8,8
3629,29,29,9,9
3630,30,30,10,10
3631,31,31,1,1
3632,32,32,2,2
3633,33,33,3,3
3634,34,34,4,4
3635,35,35,5,5
3636,36,36,6,6
3637,37,37,7,7
3638,38,38,8,8
3639,39,39,9,9
3640,40,40,10,10
3641,41,41,1,1
3642,42,42,2,2
3643,43,43,3,3
3644,44,44,4,4
3645,45,45,5,5
3646,46,46,6,6
3647,47,47,7,7
3648,48,48,8,8
3649,49,49,9,9
3650,50,50,10,10
3651,51,51,1,1
3652,52,52,2,2
3653,53,53,3,3
3654,54,54,4,4
3655,55,55,5,5
3656,56,56,6,6
3657,57,57,7,7
3658,58,58,8,8
3659,59,59,9,9
3660,60,60,10,10
3661,61,61,1,1
3662,62,62,2,2
3663,63,63,3,3
3664,64,64,4,4
3665,65,65,5,5
3666,66,66,6,6
3667,67,67,7,7
3668,68,68,8,8
3669,69,69,9,9
3670,70,70,10,10
3671,71,71,1,1
3672,72,72,2,2
3673,73,73,3,3
3674,74,74,4,4
3675,75,75,5,5
3676,76,76,6,6
3677,77,77,7,7
3678,78,78,8,8
3679,79,79,9,9
3680,80,80,10,10
3681,81,81,1,1
3682,82,82,2,2
3683,83,83,3,3
3684,84,84,4,4
3685,85,85,5,5
3686,86,86,6,6
3687,87,87,7,7
3688,88,88,8,8
3689,89,89,9,9
3690,90,90,10,10
3691,91,91,1,1
3692,92,92,2,2
3693,93,93,3,3
3694,94,94,4,4
3695,95,95,5,5
3696,96,96,6,6
3697,97,97,7,7
3698,98,98,8,8
3699,99,99,9,9
3700,100,100,10,10
3701,1,1,1,1
3702,2,2,2,2
3703,3,3,3,3
3704,4,4,4,4
3705,5,5,5,5
3706,6,6,6,6
3707,7,7,7,7
3708,8,8,8,8
3709,9,9,9,9
3710,10,10,10,10
3711,11,11,1,1
3712,12,12,2,2
3713,13,13,3,3
3714,14,14,4,4
3715,15,15,5,5
3716,16,16,6,6
3717,17,17,7,7
3718,18,18,8,8
3719,19,19,9,9
3720,20,20,10,10
3721,21,21,1,1
3722,22,22,2,2
3723,23,23,3,3
3724,24,24,4,4
3725,25,25,5,5
3726,26,26,6,6
3727,27,27,7,7
3728,28,28,8,8
3729,29,29,9,9
3730,30,30,10,10
3731,31,31,1,1
3732,32,32,2,2
3733,33,33,3,3
3734,34,34,4,4
3735,35,35,5,5
3736,36,36,6,6
3737,37,37,7,7
3738,38,38,8,8
3739,39,39,9,9
3740,40,40,10,10
3741,41,41,1,1
3742,42,42,2,2
3743,43,43,3,3
3744,44,44,4,4
3745,45,45,5,5
3746,46,46,6,6
3747,47,47,7,7
3748,48,48,8,8
3749,49,49,9,9
3750,50,50,10,10
3751,51,51,1,1
3752,52,52,2,2
3753,53,53,3,3
3754,54,54,4,4
3755,55,55,5,5
3756,56,56,6,6
3757,57,57,7,7
3758,58,58,8,8
3759,59,59,9,9
3760,60,60,10,10
3761,61,61,1,1
3762,62,62,2,2
3763,63,63,3,3
3764,64,64,4,4
3765,65,65,5,5
3766,66,66,6,6
3767,67,67,7,7
3768,68,68,8,8
3769,69,69,9,9
3770,70,70,10,10
3771,71,71,1,1
3772,72,72,2,2
3773,73,73,3,3
3774,74,74,4,4
3775,75,75,5,5
3776,76,76,6,6
3777,77,77,7,7
3778,78,78,8,8
3779,79,79,9,9
3780,80,80,10,10
3781,81,81,1,1
3782,82,82,2,2
3783,83,83,3,3
3784,84,84,4,4
3785,85,85,5,5
3786,86,86,6,6
3787,87,87,7,7
3788,88,88,8,8
3789,89,89,9,9
3790,90,90,10,10
3791,91,91,1,1
3792,92,92,2,2
3793,93,93,3,3
3794,94,94,4,4
3795,95,95,5,5
3796,96,96,6,6
3797,97,97,7,7
3798,98,98,8,8
3799,99,99,9,9
