Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
2701,1,1,1,1
2702,2,2,2,2
2703,3,3,3,3
2704,4,4,4,4
2705,5,5,5,5
2706,6,6,6,6
2707,7,7,7,7
2708,8,8,8,8
2709,9,9,9,9
2710,10,10,10,10
2711,11,11,1,1
2712,12,12,2,2
2713,13,13,3,3
2714,14,14,4,4
2715,15,15,5,5
2716,16,16,6,6
2717,17,17,7,7
2718,18,18,8,8
2719,19,19,9,9
2720,20,20,10,10
2721,21,21,1,1
2722,22,22,2,2
2723,23,23,3,3
2724,24,24,4,4
2725,25,25,5,5
2726,26,26,6,6
2727,27,27,7,7
2728,28,28,8,8
2729,29,29,9,9
2730,30,30,10,10
2731,31,31,1,1
2732,32,32,2,2
2733,33,33,3,3
2734,34,34,4,4
2735,35,35,5,5
2736,36,36,6,6
2737,37,37,7,7
2738,38,38,8,8
2739,39,39,9,9
2740,40,40,10,10
2741,41,41,1,1
2742,42,42,2,2
2743,43,43,3,3
2744,44,44,4,4
2745,45,45,5,5
2746,46,46,6,6
2747,47,47,7,7
2748,48,48,8,8
2749,49,49,9,9
2750,50,50,10,10
2751,51,51,1,1
2752,52,52,2,2
2753,53,53,3,3
2754,54,54,4,4
2755,55,55,5,5
2756,56,56,6,6
2757,57,57,7,7
2758,58,58,8,8
2759,59,59,9,9
2760,60,60,10,10
2761,61,61,1,1
2762,62,62,2,2
2763,63,63,3,3
2764,64,64,4,4
2765,65,65,5,5
2766,66,66,6,6
2767,67,67,7,7
2768,68,68,8,8
2769,69,69,9,9
2770,70,70,10,10
2771,71,71,1,1
2772,72,72,2,2
2773,73,73,3,3
2774,74,74,4,4
2775,75,75,5,5
2776,76,76,6,6
2777,77,77,7,7
2778,78,78,8,8
2779,79,79,9,9
2780,80,80,10,10
2781,81,81,1,1
2782,82,82,2,2
2783,83,83,3,3
2784,84,84,4,4
2785,85,85,5,5
2786,86,86,6,6
2787,87,87,7,7
2788,88,88,8,8
2789,89,89,9,9
2790,90,90,10,10
2791,91,91,1,1
2792,92,92,2,2
2793,93,93,3,3
2794,94,94,4,4
2795,95,95,5,5
2796,96,96,6,6
2797,97,97,7,7
2798,98,98,8,8
2799,99,99,9,9
2800,100,100,10,10
2801,1,1,1,1
2802,2,2,2,2
2803,3,3,3,3
2804,4,4,4,4
2805,5,5,5,5
2806,6,6,6,6
2807,7,7,7,7
2808,8,8,8,8
2809,9,9,9,9
2810,10,10,10,10
2811,11,11,1,1
2812,12,12,2,2
2813,13,13,3,3
2814,14,14,4,4
2815,15,15,5,5
2816,16,16,6,6
2817,17,17,7,7
2818,18,18,8,8
2819,19,19,9,9
2820,20,20,10,10
2821,21,21,1,1
2822,22,22,2,2
2823,23,23,3,3
2824,24,24,4,4
2825,25,25,5,5
2826,26,26,6,6
2827,27,27,7,7
2828,28,28,8,8
2829,29,29,9,9
2830,30,30,10,10
2831,31,31,1,1
2832,32,32,2,2
2833,33,33,3,3
2834,34,34,4,4
2835,35,35,5,5
2836,36,36,6,6
2837,37,37,7,7
2838,38,38,8,8
2839,39,39,9,9
2840,40,40,10,10
2841,41,41,1,1
2842,42,42,2,2
2843,43,43,3,3
2844,44,44,4,4
2845,45,45,5,5
2846,46,46,6,6
2847,47,47,7,7
2848,48,48,8,8
2849,49,49,9,9
2850,50,50,10,10
2851,51,51,1,1
2852,52,52,2,2
2853,53,53,3,3
2854,54,54,4,4
2855,55,55,5,5
2856,56,56,6,6
2857,57,57,7,7
2858,58,58,8,8
2859,59,59,9,9
2860,60,60,10,10
2861,61,61,1,1
2862,62,62,2,2
2863,63,63,3,3
2864,64,64,4,4
2865,65,65,5,5
2866,66,66,6,6
2867,67,67,7,7
2868,68,68,8,8
2869,69,69,9,9
2870,70,70,10,10
2871,71,71,1,1
2872,72,72,2,2
2873,73,73,3,3
2874,74,74,4,4
2875,75,75,5,5
2876,76,76,6,6
2877,77,77,7,7
2878,78,78,8,8
2879,79,79,9,9
2880,80,80,10,10
2881,81,81,1,1
2882,82,82,2,2
2883,83,83,3,3
2884,84,84,4,4
2885,85,85,5,5
2886,86,86,6,6
2887,87,87,7,7
2888,88,88,8,8
2889,89,89,9,9
2890,90,90,10,10
2891,91,91,1,1
2892,92,92,2,2
2893,93,93,3,3
2894,94,94,4,4
2895,95,95,5,5
2896,96,96,6,6
2897,97,97,7,7
2898,98,98,8,8
2899,99,99,9,9
2900,100,100,10,10
2901,1,1,1,1
2902,2,2,2,2
2903,3,3,3,3
2904,4,4,4,4
2905,5,5,5,5
2906,6,6,6,6
2907,7,7,7,7
2908,8,8,8,8
2909,9,9,9,9
2910,10,10,10,10
2911,11,11,1,1
2912,12,12,2,2
2913,13,13,3,3
2914,14,14,4,4
2915,15,15,5,5
2916,16,16,6,6
2917,17,17,7,7
2918,18,18,8,8
2919,19,19,9,9
2920,20,20,10,10
2921,21,21,1,1
2922,22,22,2,2
2923,23,23,3,3
2924,24,24,4,4
2925,25,25,5,5
2926,26,26,6,6
2927,27,27,7,7
2928,28,28,8,8
2929,29,29,9,9
2930,30,30,10,10
2931,31,31,1,1
2932,32,32,2,2
2933,33,33,3,3
2934,34,34,4,4
