Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
7201,1,1,1,1
7202,2,2,2,2
7203,3,3,3,3
7204,4,4,4,4
7205,5,5,5,5
7206,6,6,6,6
7207,7,7,7,7
7208,8,8,8,8
7209,9,9,9,9
7210,10,10,10,10
7211,11,11,1,1
7212,12,12,2,2
7213,13,13,3,3
7214,14,14,4,4
7215,15,15,5,5
7216,16,16,6,6
7217,17,17,7,7
7218,18,18,8,8
7219,19,19,9,9
7220,20,20,10,10
7221,21,21,1,1
7222,22,22,2,2
7223,23,23,3,3
7224,24,24,4,4
7225,25,25,5,5
7226,26,26,6,6
7227,27,27,7,7
7228,28,28,8,8
7229,29,29,9,9
7230,30,30,10,10
7231,31,31,1,1
7232,32,32,2,2
7233,33,33,3,3
7234,34,34,4,4
7235,35,35,5,5
7236,36,36,6,6
7237,37,37,7,7
7238,38,38,8,8
7239,39,39,9,9
7240,40,40,10,10
7241,41,41,1,1
7242,42,42,2,2
7243,43,43,3,3
7244,44,44,4,4
7245,45,45,5,5
7246,46,46,6,6
7247,47,47,7,7
7248,48,48,8,8
7249,49,49,9,9
7250,50,50,10,10
7251,51,51,1,1
7252,52,52,2,2
7253,53,53,3,3
7254,54,54,4,4
7255,55,55,5,5
7256,56,56,6,6
7257,57,57,7,7
7258,58,58,8,8
7259,59,59,9,9
7260,60,60,10,10
7261,61,61,1,1
7262,62,62,2,2
7263,63,63,3,3
7264,64,64,4,4
7265,65,65,5,5
7266,66,66,6,6
7267,67,67,7,7
7268,68,68,8,8
7269,69,69,9,9
7270,70,70,10,10
7271,71,71,1,1
7272,72,72,2,2
7273,73,73,3,3
7274,74,74,4,4
7275,75,75,5,5
7276,76,76,6,6
7277,77,77,7,7
7278,78,78,8,8
7279,79,79,9,9
7280,80,80,10,10
7281,81,81,1,1
7282,82,82,2,2
7283,83,83,3,3
7284,84,84,4,4
7285,85,85,5,5
7286,86,86,6,6
7287,87,87,7,7
7288,88,88,8,8
7289,89,89,9,9
7290,90,90,10,10
7291,91,91,1,1
7292,92,92,2,2
7293,93,93,3,3
7294,94,94,4,4
7295,95,95,5,5
7296,96,96,6,6
7297,97,97,7,7
7298,98,98,8,8
7299,99,99,9,9
7300,100,100,10,10
7301,1,1,1,1
7302,2,2,2,2
7303,3,3,3,3
7304,4,4,4,4
7305,5,5,5,5
7306,6,6,6,6
7307,7,7,7,7
7308,8,8,8,8
7309,9,9,9,9
7310,10,10,10,10
7311,11,11,1,1
7312,12,12,2,2
7313,13,13,3,3
7314,14,14,4,4
7315,15,15,5,5
7316,16,16,6,6
7317,17,17,7,7
