Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
901,1,1,1,1
902,2,2,2,2
903,3,3,3,3
904,4,4,4,4
905,5,5,5,5
906,6,6,6,6
907,7,7,7,7
908,8,8,8,8
909,9,9,9,9
910,10,10,10,10
911,11,11,1,1
912,12,12,2,2
913,13,13,3,3
914,14,14,4,4
915,15,15,5,5
916,16,16,6,6
917,17,17,7,7
918,18,18,8,8
919,19,19,9,9
920,20,20,10,10
921,21,21,1,1
922,22,22,2,2
923,23,23,3,3
924,24,24,4,4
925,25,25,5,5
926,26,26,6,6
927,27,27,7,7
928,28,28,8,8
929,29,29,9,9
930,30,30,10,10
931,31,31,1,1
932,32,32,2,2
933,33,33,3,3
934,34,34,4,4
935,35,35,5,5
936,36,36,6,6
937,37,37,7,7
938,38,38,8,8
939,39,39,9,9
940,40,40,10,10
941,41,41,1,1
942,42,42,2,2
943,43,43,3,3
944,44,44,4,4
945,45,45,5,5
946,46,46,6,6
947,47,47,7,7
948,48,48,8,8
949,49,49,9,9
950,50,50,10,10
951,51,51,1,1
952,52,52,2,2
953,53,53,3,3
954,54,54,4,4
955,55,55,5,5
956,56,56,6,6
957,57,57,7,7
958,58,58,8,8
959,59,59,9,9
960,60,60,10,10
961,61,61,1,1
962,62,62,2,2
963,63,63,3,3
964,64,64,4,4
965,65,65,5,5
966,66,66,6,6
967,67,67,7,7
968,68,68,8,8
969,69,69,9,9
970,70,70,10,10
971,71,71,1,1
972,72,72,2,2
973,73,73,3,3
974,74,74,4,4
975,75,75,5,5
976,76,76,6,6
977,77,77,7,7
978,78,78,8,8
979,79,79,9,9
980,80,80,10,10
981,81,81,1,1
982,82,82,2,2
983,83,83,3,3
984,84,84,4,4
985,85,85,5,5
986,86,86,6,6
987,87,87,7,7
988,88,88,8,8
989,89,89,9,9
990,90,90,10,10
991,91,91,1,1
992,92,92,2,2
993,93,93,3,3
994,94,94,4,4
995,95,95,5,5
996,96,96,6,6
997,97,97,7,7
998,98,98,8,8
999,99,99,9,9
1000,100,100,10,10
1001,1,1,1,1
1002,2,2,2,2
1003,3,3,3,3
1004,4,4,4,4
1005,5,5,5,5
1006,6,6,6,6
1007,7,7,7,7
1008,8,8,8,8
1009,9,9,9,9
1010,10,10,10,10
1011,11,11,1,1
1012,12,12,2,2
1013,13,13,3,3
1014,14,14,4,4
1015,15,15,5,5
1016,16,16,6,6
1017,17,17,7,7
1018,18,18,8,8
1019,19,19,9,9
1020,20,20,10,10
1021,21,21,1,1
1022,22,22,2,2
1023,23,23,3,3
1024,24,24,4,4
1025,25,25,5,5
1026,26,26,6,6
1027,27,27,7,7
1028,28,28,8,8
1029,29,29,9,9
1030,30,30,10,10
1031,31,31,1,1
1032,32,32,2,2
1033,33,33,3,3
1034,34,34,4,4
1035,35,35,5,5
1036,36,36,6,6
1037,37,37,7,7
1038,38,38,8,8
1039,39,39,9,9
1040,40,40,10,10
1041,41,41,1,1
1042,42,42,2,2
1043,43,43,3,3
1044,44,44,4,4
1045,45,45,5,5
1046,46,46,6,6
1047,47,47,7,7
1048,48,48,8,8
1049,49,49,9,9
1050,50,50,10,10
1051,51,51,1,1
1052,52,52,2,2
1053,53,53,3,3
1054,54,54,4,4
1055,55,55,5,5
1056,56,56,6,6
1057,57,57,7,7
1058,58,58,8,8
1059,59,59,9,9
1060,60,60,10,10
1061,61,61,1,1
1062,62,62,2,2
1063,63,63,3,3
1064,64,64,4,4
1065,65,65,5,5
1066,66,66,6,6
1067,67,67,7,7
1068,68,68,8,8
1069,69,69,9,9
1070,70,70,10,10
1071,71,71,1,1
1072,72,72,2,2
1073,73,73,3,3
1074,74,74,4,4
1075,75,75,5,5
1076,76,76,6,6
1077,77,77,7,7
1078,78,78,8,8
1079,79,79,9,9
1080,80,80,10,10
1081,81,81,1,1
1082,82,82,2,2
1083,83,83,3,3
1084,84,84,4,4
1085,85,85,5,5
1086,86,86,6,6
1087,87,87,7,7
1088,88,88,8,8
1089,89,89,9,9
1090,90,90,10,10
1091,91,91,1,1
1092,92,92,2,2
1093,93,93,3,3
1094,94,94,4,4
1095,95,95,5,5
1096,96,96,6,6
1097,97,97,7,7
1098,98,98,8,8
1099,99,99,9,9
1100,100,100,10,10
1101,1,1,1,1
1102,2,2,2,2
1103,3,3,3,3
1104,4,4,4,4
1105,5,5,5,5
1106,6,6,6,6
1107,7,7,7,7
1108,8,8,8,8
1109,9,9,9,9
1110,10,10,10,10
1111,11,11,1,1
1112,12,12,2,2
1113,13,13,3,3
1114,14,14,4,4
1115,15,15,5,5
1116,16,16,6,6
1117,17,17,7,7
1118,18,18,8,8
1119,19,19,9,9
1120,20,20,10,10
1121,21,21,1,1
1122,22,22,2,2
1123,23,23,3,3
1124,24,24,4,4
1125,25,25,5,5
1126,26,26,6,6
1127,27,27,7,7
1128,28,28,8,8
1129,29,29,9,9
1130,30,30,10,10
1131,31,31,1,1
1132,32,32,2,2
1133,33,33,3,3
1134,34,34,4,4
1135,35,35,5,5
1136,36,36,6,6
1137,37,37,7,7
1138,38,38,8,8
1139,39,39,9,9
1140,40,40,10,10
1141,41,41,1,1
1142,42,42,2,2
1143,43,43,3,3
1144,44,44,4,4
1145,45,45,5,5
1146,46,46,6,6
1147,47,47,7,7
1148,48,48,8,8
1149,49,49,9,9
1150,50,50,10,10
1151,51,51,1,1
1152,52,52,2,2
1153,53,53,3,3
1154,54,54,4,4
1155,55,55,5,5
1156,56,56,6,6
1157,57,57,7,7
1158,58,58,8,8
1159,59,59,9,9
