Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
5401,1,1,1,1
5402,2,2,2,2
5403,3,3,3,3
5404,4,4,4,4
5405,5,5,5,5
5406,6,6,6,6
5407,7,7,7,7
5408,8,8,8,8
5409,9,9,9,9
5410,10,10,10,10
5411,11,11,1,1
5412,12,12,2,2
5413,13,13,3,3
5414,14,14,4,4
5415,15,15,5,5
5416,16,16,6,6
5417,17,17,7,7
5418,18,18,8,8
5419,19,19,9,9
5420,20,20,10,10
5421,21,21,1,1
5422,22,22,2,2
5423,23,23,3,3
5424,24,24,4,4
5425,25,25,5,5
5426,26,26,6,6
5427,27,27,7,7
5428,28,28,8,8
5429,29,29,9,9
5430,30,30,10,10
5431,31,31,1,1
5432,32,32,2,2
5433,33,33,3,3
5434,34,34,4,4
5435,35,35,5,5
5436,36,36,6,6
5437,37,37,7,7
5438,38,38,8,8
5439,39,39,9,9
5440,40,40,10,10
5441,41,41,1,1
5442,42,42,2,2
5443,43,43,3,3
5444,44,44,4,4
5445,45,45,5,5
5446,46,46,6,6
5447,47,47,7,7
5448,48,48,8,8
5449,49,49,9,9
5450,50,50,10,10
5451,51,51,1,1
5452,52,52,2,2
5453,53,53,3,3
5454,54,54,4,4
5455,55,55,5,5
5456,56,56,6,6
5457,57,57,7,7
5458,58,58,8,8
5459,59,59,9,9
5460,60,60,10,10
5461,61,61,1,1
5462,62,62,2,2
5463,63,63,3,3
5464,64,64,4,4
5465,65,65,5,5
5466,66,66,6,6
5467,67,67,7,7
5468,68,68,8,8
5469,69,69,9,9
5470,70,70,10,10
5471,71,71,1,1
5472,72,72,2,2
5473,73,73,3,3
5474,74,74,4,4
5475,75,75,5,5
5476,76,76,6,6
5477,77,77,7,7
5478,78,78,8,8
5479,79,79,9,9
5480,80,80,10,10
5481,81,81,1,1
5482,82,82,2,2
5483,83,83,3,3
5484,84,84,4,4
5485,85,85,5,5
5486,86,86,6,6
5487,87,87,7,7
5488,88,88,8,8
5489,89,89,9,9
5490,90,90,10,10
5491,91,91,1,1
5492,92,92,2,2
5493,93,93,3,3
5494,94,94,4,4
5495,95,95,5,5
5496,96,96,6,6
5497,97,97,7,7
5498,98,98,8,8
5499,99,99,9,9
5500,100,100,10,10
5501,1,1,1,1
5502,2,2,2,2
5503,3,3,3,3
5504,4,4,4,4
5505,5,5,5,5
5506,6,6,6,6
5507,7,7,7,7
5508,8,8,8,8
5509,9,9,9,9
5510,10,10,10,10
5511,11,11,1,1
5512,12,12,2,2
5513,13,13,3,3
5514,14,14,4,4
5515,15,15,5,5
5516,16,16,6,6
5517,17,17,7,7
5518,18,18,8,8
5519,19,19,9,9
5520,20,20,10,10
5521,21,21,1,1
5522,22,22,2,2
5523,23,23,3,3
5524,24,24,4,4
5525,25,25,5,5
5526,26,26,6,6
5527,27,27,7,7
5528,28,28,8,8
5529,29,29,9,9
5530,30,30,10,10
5531,31,31,1,1
5532,32,32,2,2
5533,33,33,3,3
5534,34,34,4,4
5535,35,35,5,5
5536,36,36,6,6
5537,37,37,7,7
5538,38,38,8,8
5539,39,39,9,9
5540,40,40,10,10
5541,41,41,1,1
5542,42,42,2,2
5543,43,43,3,3
5544,44,44,4,4
5545,45,45,5,5
5546,46,46,6,6
5547,47,47,7,7
5548,48,48,8,8
5549,49,49,9,9
5550,50,50,10,10
5551,51,51,1,1
5552,52,52,2,2
5553,53,53,3,3
5554,54,54,4,4
5555,55,55,5,5
5556,56,56,6,6
5557,57,57,7,7
5558,58,58,8,8
5559,59,59,9,9
5560,60,60,10,10
5561,61,61,1,1
5562,62,62,2,2
5563,63,63,3,3
5564,64,64,4,4
5565,65,65,5,5
5566,66,66,6,6
5567,67,67,7,7
5568,68,68,8,8
5569,69,69,9,9
5570,70,70,10,10
5571,71,71,1,1
5572,72,72,2,2
5573,73,73,3,3
5574,74,74,4,4
5575,75,75,5,5
5576,76,76,6,6
5577,77,77,7,7
5578,78,78,8,8
5579,79,79,9,9
5580,80,80,10,10
5581,81,81,1,1
5582,82,82,2,2
5583,83,83,3,3
5584,84,84,4,4
5585,85,85,5,5
5586,86,86,6,6
5587,87,87,7,7
