Id,IdПреподавателя,IdГруппы,IdПредмета,IdТипЗанятия
8101,1,1,1,1
8102,2,2,2,2
8103,3,3,3,3
8104,4,4,4,4
8105,5,5,5,5
8106,6,6,6,6
8107,7,7,7,7
8108,8,8,8,8
8109,9,9,9,9
8110,10,10,10,10
8111,11,11,1,1
8112,12,12,2,2
8113,13,13,3,3
8114,14,14,4,4
8115,15,15,5,5
8116,16,16,6,6
8117,17,17,7,7
8118,18,18,8,8
8119,19,19,9,9
8120,20,20,10,10
8121,21,21,1,1
8122,22,22,2,2
8123,23,23,3,3
8124,24,24,4,4
8125,25,25,5,5
8126,26,26,6,6
8127,27,27,7,7
8128,28,28,8,8
8129,29,29,9,9
8130,30,30,10,10
8131,31,31,1,1
8132,32,32,2,2
8133,33,33,3,3
8134,34,34,4,4
8135,35,35,5,5
8136,36,36,6,6
8137,37,37,7,7
8138,38,38,8,8
8139,39,39,9,9
8140,40,40,10,10
8141,41,41,1,1
8142,42,42,2,2
8143,43,43,3,3
8144,44,44,4,4
8145,45,45,5,5
8146,46,46,6,6
8147,47,47,7,7
8148,48,48,8,8
8149,49,49,9,9
8150,50,50,10,10
8151,51,51,1,1
8152,52,52,2,2
8153,53,53,3,3
8154,54,54,4,4
8155,55,55,5,5
8156,56,56,6,6
8157,57,57,7,7
8158,58,58,8,8
8159,59,59,9,9
8160,60,60,10,10
8161,61,61,1,1
8162,62,62,2,2
8163,63,63,3,3
8164,64,64,4,4
8165,65,65,5,5
8166,66,66,6,6
8167,67,67,7,7
8168,68,68,8,8
8169,69,69,9,9
8170,70,70,10,10
8171,71,71,1,1
8172,72,72,2,2
8173,73,73,3,3
8174,74,74,4,4
8175,75,75,5,5
8176,76,76,6,6
8177,77,77,7,7
8178,78,78,8,8
8179,79,79,9,9
8180,80,80,10,10
8181,81,81,1,1
8182,82,82,2,2
8183,83,83,3,3
8184,84,84,4,4
8185,85,85,5,5
8186,86,86,6,6
8187,87,87,7,7
8188,88,88,8,8
8189,89,89,9,9
8190,90,90,10,10
8191,91,91,1,1
8192,92,92,2,2
8193,93,93,3,3
8194,94,94,4,4
8195,95,95,5,5
8196,96,96,6,6
8197,97,97,7,7
8198,98,98,8,8
8199,99,99,9,9
8200,100,100,10,10
8201,1,1,1,1
8202,2,2,2,2
8203,3,3,3,3
8204,4,4,4,4
8205,5,5,5,5
8206,6,6,6,6
8207,7,7,7,7
8208,8,8,8,8
8209,9,9,9,9
8210,10,10,10,10
8211,11,11,1,1
8212,12,12,2,2
8213,13,13,3,3
8214,14,14,4,4
8215,15,15,5,5
8216,16,16,6,6
8217,17,17,7,7
8218,18,18,8,8
8219,19,19,9,9
8220,20,20,10,10
8221,21,21,1,1
8222,22,22,2,2
8223,23,23,3,3
8224,24,24,4,4
8225,25,25,5,5
8226,26,26,6,6
8227,27,27,7,7
8228,28,28,8,8
8229,29,29,9,9
8230,30,30,10,10
8231,31,31,1,1
8232,32,32,2,2
8233,33,33,3,3
8234,34,34,4,4
8235,35,35,5,5
8236,36,36,6,6
8237,37,37,7,7
8238,38,38,8,8
8239,39,39,9,9
8240,40,40,10,10
8241,41,41,1,1
